train_loss,valid_loss,train_accuracy,valid_accuracy,epoch
1.2150355349731445,1.5169850234985351,"tensor(0.4463, device='cuda:0', dtype=torch.float64)",0.4483,124
1.2148423318481445,1.516135071182251,"tensor(0.4474, device='cuda:0', dtype=torch.float64)",0.4432,125
1.2109908203125,1.5089980274200439,"tensor(0.4482, device='cuda:0', dtype=torch.float64)",0.4505,126
1.2087884701538085,1.508816397857666,"tensor(0.4501, device='cuda:0', dtype=torch.float64)",0.4476,127
1.206491382598877,1.5026488983154296,"tensor(0.4467, device='cuda:0', dtype=torch.float64)",0.453,128
1.2023168644714355,1.5008148601531983,"tensor(0.4533, device='cuda:0', dtype=torch.float64)",0.4568,129
1.2016034317016602,1.4960244342803954,"tensor(0.4522, device='cuda:0', dtype=torch.float64)",0.4575,130
1.1986683612060547,1.499278673362732,"tensor(0.4543, device='cuda:0', dtype=torch.float64)",0.4561,131
1.198176211090088,1.4888144733428954,"tensor(0.4549, device='cuda:0', dtype=torch.float64)",0.4567,132
1.1953240997314454,1.4914552309036255,"tensor(0.4577, device='cuda:0', dtype=torch.float64)",0.4581,133
1.1934875862121581,1.488163146209717,"tensor(0.4541, device='cuda:0', dtype=torch.float64)",0.4578,134
1.1905762585449218,1.4847281976699829,"tensor(0.4565, device='cuda:0', dtype=torch.float64)",0.4613,135
1.187167413482666,1.4818455383300781,"tensor(0.4603, device='cuda:0', dtype=torch.float64)",0.4592,136
1.1853403358459473,1.4856720987319947,"tensor(0.4589, device='cuda:0', dtype=torch.float64)",0.4621,137
1.1814688171386718,1.4749176843643188,"tensor(0.4617, device='cuda:0', dtype=torch.float64)",0.463,138
1.1797664541625976,1.4714591361999512,"tensor(0.4631, device='cuda:0', dtype=torch.float64)",0.4636,139
1.1800259272766114,1.4733319009780883,"tensor(0.4619, device='cuda:0', dtype=torch.float64)",0.4642,140
1.1774841590881349,1.4716219732284546,"tensor(0.4652, device='cuda:0', dtype=torch.float64)",0.4645,141
1.1772439109802246,1.4650742128372192,"tensor(0.4647, device='cuda:0', dtype=torch.float64)",0.4651,142
1.174445419921875,1.463284289932251,"tensor(0.4645, device='cuda:0', dtype=torch.float64)",0.4652,143
1.1710257830810546,1.4600580499649047,"tensor(0.4667, device='cuda:0', dtype=torch.float64)",0.4658,144
1.1703969108581542,1.4575663682937623,"tensor(0.4697, device='cuda:0', dtype=torch.float64)",0.4666,145
1.1691321221923827,1.4564296892166138,"tensor(0.4659, device='cuda:0', dtype=torch.float64)",0.4629,146
1.1676563482666016,1.4507370882034303,"tensor(0.4677, device='cuda:0', dtype=torch.float64)",0.4675,147
1.1659342337036134,1.4528983364105224,"tensor(0.4692, device='cuda:0', dtype=torch.float64)",0.4729,148
1.1625842642211914,1.4554127687454224,"tensor(0.4706, device='cuda:0', dtype=torch.float64)",0.4768,149
1.158224905090332,1.4391743202209473,"tensor(0.4724, device='cuda:0', dtype=torch.float64)",0.4757,150
1.1598388983154297,1.449019243621826,"tensor(0.4737, device='cuda:0', dtype=torch.float64)",0.4729,151
1.1571936561584473,1.4367694068908692,"tensor(0.4734, device='cuda:0', dtype=torch.float64)",0.4757,152
1.1556315824890138,1.4334689668655396,"tensor(0.4746, device='cuda:0', dtype=torch.float64)",0.4806,153
1.1530581127929687,1.4417112785339354,"tensor(0.4755, device='cuda:0', dtype=torch.float64)",0.4721,154
1.1504262915039063,1.4286596549987793,"tensor(0.4782, device='cuda:0', dtype=torch.float64)",0.4779,155
1.1483455914306642,1.4355817398071289,"tensor(0.4786, device='cuda:0', dtype=torch.float64)",0.4787,156
1.1475614553833007,1.4306699226379394,"tensor(0.4784, device='cuda:0', dtype=torch.float64)",0.4829,157
1.141377336883545,1.428323187828064,"tensor(0.4805, device='cuda:0', dtype=torch.float64)",0.4806,158
1.1430779335021972,1.425983546257019,"tensor(0.4815, device='cuda:0', dtype=torch.float64)",0.4776,159
1.1405954423522948,1.4230426601409911,"tensor(0.4812, device='cuda:0', dtype=torch.float64)",0.4824,160
1.139115145111084,1.4168939121246338,"tensor(0.4816, device='cuda:0', dtype=torch.float64)",0.4859,161
1.1370871513366698,1.4089270606994628,"tensor(0.4850, device='cuda:0', dtype=torch.float64)",0.4889,162
1.1382228240966796,1.41337310962677,"tensor(0.4825, device='cuda:0', dtype=torch.float64)",0.4866,163
1.1357167556762695,1.4115855297088622,"tensor(0.4834, device='cuda:0', dtype=torch.float64)",0.4932,164
1.1357851280212403,1.4126113634109496,"tensor(0.4855, device='cuda:0', dtype=torch.float64)",0.4888,165
1.13284568649292,1.4102133947372437,"tensor(0.4842, device='cuda:0', dtype=torch.float64)",0.4885,166
1.12939517578125,1.4065449869155884,"tensor(0.4868, device='cuda:0', dtype=torch.float64)",0.4907,167
1.127104914855957,1.4094326747894288,"tensor(0.4884, device='cuda:0', dtype=torch.float64)",0.4852,168
1.1270214895629882,1.4043303789138795,"tensor(0.4878, device='cuda:0', dtype=torch.float64)",0.4919,169
1.127091188812256,1.4018851205825806,"tensor(0.4880, device='cuda:0', dtype=torch.float64)",0.4936,170
1.1248430598449708,1.4069331638336182,"tensor(0.4884, device='cuda:0', dtype=torch.float64)",0.4916,171
1.1239830043029786,1.3979686628341674,"tensor(0.4897, device='cuda:0', dtype=torch.float64)",0.4909,172
1.1207114457702636,1.4176513038635254,"tensor(0.4912, device='cuda:0', dtype=torch.float64)",0.4848,173
1.1199669583129883,1.3932355047225953,"tensor(0.4904, device='cuda:0', dtype=torch.float64)",0.4939,174
1.1171448294067383,1.3861148851394653,"tensor(0.4924, device='cuda:0', dtype=torch.float64)",0.5008,175
1.1172493445587157,1.3947459541320801,"tensor(0.4928, device='cuda:0', dtype=torch.float64)",0.4961,176
1.1149217453002929,1.3830556182861329,"tensor(0.4956, device='cuda:0', dtype=torch.float64)",0.4951,177
1.1112720945739747,1.3991144956588746,"tensor(0.4977, device='cuda:0', dtype=torch.float64)",0.4891,178
1.1101074452209472,1.380902282333374,"tensor(0.4970, device='cuda:0', dtype=torch.float64)",0.5028,179
1.1106734294128418,1.3884675746917725,"tensor(0.4990, device='cuda:0', dtype=torch.float64)",0.4966,180
1.1075344104766847,1.3846066797256469,"tensor(0.4966, device='cuda:0', dtype=torch.float64)",0.4994,181
1.105681470336914,1.3780433912277221,"tensor(0.4998, device='cuda:0', dtype=torch.float64)",0.4948,182
1.1057789738464356,1.3800278797149659,"tensor(0.4980, device='cuda:0', dtype=torch.float64)",0.4944,183
1.1023978291320802,1.3765075569152831,"tensor(0.5020, device='cuda:0', dtype=torch.float64)",0.4988,184
1.103272588119507,1.3817217588424682,"tensor(0.5000, device='cuda:0', dtype=torch.float64)",0.497,185
1.0982537174224853,1.3697669708251954,"tensor(0.5006, device='cuda:0', dtype=torch.float64)",0.5071,186
1.1014961917114259,1.3804522241592407,"tensor(0.5013, device='cuda:0', dtype=torch.float64)",0.5059,187
1.0964870666503905,1.373566743850708,"tensor(0.5018, device='cuda:0', dtype=torch.float64)",0.5039,188
1.095408318786621,1.3680478164672851,"tensor(0.5061, device='cuda:0', dtype=torch.float64)",0.5084,189
1.0932026454162598,1.3641828527450561,"tensor(0.5044, device='cuda:0', dtype=torch.float64)",0.5046,190
1.093211314086914,1.3779894430160522,"tensor(0.5042, device='cuda:0', dtype=torch.float64)",0.4976,191
1.090746985321045,1.3701994424819945,"tensor(0.5069, device='cuda:0', dtype=torch.float64)",0.505,192
1.0890605989837647,1.365888465309143,"tensor(0.5082, device='cuda:0', dtype=torch.float64)",0.5073,193
1.0905099865722656,1.3635913185119628,"tensor(0.5054, device='cuda:0', dtype=torch.float64)",0.5072,194
1.0854578881072998,1.350131051158905,"tensor(0.5102, device='cuda:0', dtype=torch.float64)",0.5116,195
1.0832753929138184,1.35202045545578,"tensor(0.5102, device='cuda:0', dtype=torch.float64)",0.513,196
1.081765421447754,1.3586873277664184,"tensor(0.5077, device='cuda:0', dtype=torch.float64)",0.5109,197
1.0795119129943849,1.3624864906311036,"tensor(0.5138, device='cuda:0', dtype=torch.float64)",0.5057,198
1.0816377128601073,1.3489800294876098,"tensor(0.5103, device='cuda:0', dtype=torch.float64)",0.5092,199
1.076667904663086,1.34482911567688,"tensor(0.5140, device='cuda:0', dtype=torch.float64)",0.5119,200
1.076049257736206,1.3420093794822694,"tensor(0.5107, device='cuda:0', dtype=torch.float64)",0.5135,201
1.0752140521240234,1.337696561050415,"tensor(0.5136, device='cuda:0', dtype=torch.float64)",0.5186,202
1.0750043676757812,1.3475213562011719,"tensor(0.5134, device='cuda:0', dtype=torch.float64)",0.5153,203
1.0703652340698242,1.338979871749878,"tensor(0.5165, device='cuda:0', dtype=torch.float64)",0.518,204
1.0720468285369873,1.3421738097190856,"tensor(0.5145, device='cuda:0', dtype=torch.float64)",0.5159,205
1.0714199718475341,1.3399162845611572,"tensor(0.5160, device='cuda:0', dtype=torch.float64)",0.5129,206
1.0670149971771241,1.3315088472366332,"tensor(0.5163, device='cuda:0', dtype=torch.float64)",0.5225,207
1.0676416218566895,1.3352514533996582,"tensor(0.5155, device='cuda:0', dtype=torch.float64)",0.5192,208
1.0672087489318847,1.3291828777313233,"tensor(0.5166, device='cuda:0', dtype=torch.float64)",0.5213,209
1.0634147021484375,1.3297713907241822,"tensor(0.5193, device='cuda:0', dtype=torch.float64)",0.5194,210
1.061860230407715,1.3306262369155883,"tensor(0.5201, device='cuda:0', dtype=torch.float64)",0.5232,211
1.0605215185546875,1.3259107076644898,"tensor(0.5207, device='cuda:0', dtype=torch.float64)",0.5202,212
1.0604847444152832,1.3333091333389282,"tensor(0.5183, device='cuda:0', dtype=torch.float64)",0.5169,213
1.0583974278259278,1.3257671855926514,"tensor(0.5223, device='cuda:0', dtype=torch.float64)",0.5193,214
1.05751216796875,1.3375368132591248,"tensor(0.5228, device='cuda:0', dtype=torch.float64)",0.512,215
1.0557007789611816,1.3327946826934813,"tensor(0.5220, device='cuda:0', dtype=torch.float64)",0.5204,216
1.05331187210083,1.3184560167312622,"tensor(0.5256, device='cuda:0', dtype=torch.float64)",0.5232,217
1.0537648194122315,1.3210326475143432,"tensor(0.5228, device='cuda:0', dtype=torch.float64)",0.5187,218
1.0512815354156495,1.3262083396911621,"tensor(0.5248, device='cuda:0', dtype=torch.float64)",0.524,219
1.0517369921875,1.3162643484115601,"tensor(0.5261, device='cuda:0', dtype=torch.float64)",0.5231,220
1.046562371902466,1.3149668729782105,"tensor(0.5282, device='cuda:0', dtype=torch.float64)",0.5255,221
1.0481433715057373,1.3245658699035645,"tensor(0.5266, device='cuda:0', dtype=torch.float64)",0.5228,222
1.048950470123291,1.3111820472717286,"tensor(0.5267, device='cuda:0', dtype=torch.float64)",0.5215,223
1.0470774684906006,1.3130689865112304,"tensor(0.5284, device='cuda:0', dtype=torch.float64)",0.523,224
1.043673865585327,1.313780959224701,"tensor(0.5298, device='cuda:0', dtype=torch.float64)",0.5223,225
1.042724815673828,1.3081806118011474,"tensor(0.5292, device='cuda:0', dtype=torch.float64)",0.5312,226
1.040830844039917,1.3148349266052246,"tensor(0.5304, device='cuda:0', dtype=torch.float64)",0.5258,227
1.0389934555816651,1.3102120336532592,"tensor(0.5305, device='cuda:0', dtype=torch.float64)",0.5249,228
1.0363658125305175,1.300403573989868,"tensor(0.5318, device='cuda:0', dtype=torch.float64)",0.529,229
1.0378883016204834,1.3035501111984253,"tensor(0.5303, device='cuda:0', dtype=torch.float64)",0.5335,230
1.0382796294403076,1.3027515752792358,"tensor(0.5346, device='cuda:0', dtype=torch.float64)",0.5259,231
1.035023833770752,1.3022897190093994,"tensor(0.5348, device='cuda:0', dtype=torch.float64)",0.5304,232
1.0349596570587158,1.3054979719161988,"tensor(0.5338, device='cuda:0', dtype=torch.float64)",0.5351,233
1.0330399743652343,1.3027379669189454,"tensor(0.5357, device='cuda:0', dtype=torch.float64)",0.5303,234
1.0331674258422852,1.298277334022522,"tensor(0.5363, device='cuda:0', dtype=torch.float64)",0.5337,235
1.0297136242675782,1.2983411838531493,"tensor(0.5355, device='cuda:0', dtype=torch.float64)",0.5317,236
1.0280968804168702,1.2936983476638795,"tensor(0.5380, device='cuda:0', dtype=torch.float64)",0.5331,237
1.0266700772857666,1.299975350189209,"tensor(0.5376, device='cuda:0', dtype=torch.float64)",0.5301,238
1.0274374751281738,1.2902369255065917,"tensor(0.5373, device='cuda:0', dtype=torch.float64)",0.5361,239
1.0260978798675537,1.2842639072418214,"tensor(0.5400, device='cuda:0', dtype=torch.float64)",0.5327,240
1.024920626449585,1.2834953372955322,"tensor(0.5386, device='cuda:0', dtype=torch.float64)",0.5391,241
1.0244022074127197,1.2995245162963867,"tensor(0.5413, device='cuda:0', dtype=torch.float64)",0.5313,242
1.0216820807647704,1.2867713741302491,"tensor(0.5402, device='cuda:0', dtype=torch.float64)",0.5366,243
1.0233752040863038,1.2888805591583252,"tensor(0.5404, device='cuda:0', dtype=torch.float64)",0.5403,244
1.0186212399291992,1.2918205270767211,"tensor(0.5418, device='cuda:0', dtype=torch.float64)",0.5364,245
1.016428129043579,1.2798875543594361,"tensor(0.5431, device='cuda:0', dtype=torch.float64)",0.5417,246
1.0193817733001709,1.2844963102340698,"tensor(0.5430, device='cuda:0', dtype=torch.float64)",0.5438,247
1.014621190109253,1.27410924243927,"tensor(0.5423, device='cuda:0', dtype=torch.float64)",0.5376,248
1.0158281326293945,1.281096725654602,"tensor(0.5423, device='cuda:0', dtype=torch.float64)",0.5426,249
1.0152948850250245,1.2672977136611938,"tensor(0.5414, device='cuda:0', dtype=torch.float64)",0.5408,250
1.011735664138794,1.2811387404441834,"tensor(0.5430, device='cuda:0', dtype=torch.float64)",0.5483,251
1.0094893059539796,1.281741695022583,"tensor(0.5491, device='cuda:0', dtype=torch.float64)",0.5429,252
1.0103684232330323,1.2777758363723755,"tensor(0.5448, device='cuda:0', dtype=torch.float64)",0.5422,253
1.0101695938873292,1.272803281211853,"tensor(0.5462, device='cuda:0', dtype=torch.float64)",0.5405,254
1.0103429847717285,1.273652208328247,"tensor(0.5485, device='cuda:0', dtype=torch.float64)",0.5477,255
1.00937165435791,1.2636794790267944,"tensor(0.5479, device='cuda:0', dtype=torch.float64)",0.5466,256
1.004755244064331,1.274246618080139,"tensor(0.5498, device='cuda:0', dtype=torch.float64)",0.5427,257
1.0060635555267334,1.2692889525413513,"tensor(0.5479, device='cuda:0', dtype=torch.float64)",0.5471,258
1.0023548333740235,1.2612045700073242,"tensor(0.5517, device='cuda:0', dtype=torch.float64)",0.5432,259
